yt_url,title,author,views,views_numeric,scaled_views,date,year,thumb_url,img_id,rgn,hsl,hex,red,green,blue,hue,sat,lig,PC1,PC2,PC3,PC4,PC5
https://www.youtube.com/watch?v=VuNIsY6JdUw&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=197&pp=iAQB8AUB,Taylor Swift - You Belong With Me,Taylor Swift,1.6B views,1600000000,106.6666667,15 years ago,2009,https://img.youtube.com/vi/VuNIsY6JdUw/hqdefault.jpg,VuNIsY6JdUw,"rgb(52, 55, 48)",hsl(86 7% 20%),#343730,52,55,48,86,7,20,-1.350251648,-0.7184389364,-0.5948928562,0.03321887409,0.0338149106
https://www.youtube.com/watch?v=GmHrjFIWl6U&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=185&pp=iAQB8AUB,Maluma - Corazón (Official Video) ft. Nego do Borel,Maluma,1.6B views,1600000000,106.6666667,6 years ago,2018,https://img.youtube.com/vi/GmHrjFIWl6U/hqdefault.jpg,GmHrjFIWl6U,"rgb(115, 99, 97)",hsl(7 8% 42%),#736361,115,99,97,7,8,42,0.001459744142,-1.338344406,-0.4605901015,0.1415288301,-0.1361983851
https://www.youtube.com/watch?v=ebXbLfLACGM&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=188&pp=iAQB8AUB,Calvin Harris - Summer (Official Video),Calvin Harris,1.6B views,1600000000,106.6666667,10 years ago,2014,https://img.youtube.com/vi/ebXbLfLACGM/hqdefault.jpg,ebXbLfLACGM,"rgb(98, 87, 80)",hsl(23 10% 35%),#625750,98,87,80,23,10,35,-0.4057968578,-1.174341191,-0.3715328835,0.09573949741,-0.06030215762
https://www.youtube.com/watch?v=8WYHDfJDPDc&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=196&pp=iAQB8AUB,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,Nelly,1.6B views,1600000000,106.6666667,15 years ago,2009,https://img.youtube.com/vi/8WYHDfJDPDc/hqdefault.jpg,8WYHDfJDPDc,"rgb(42, 48, 55)",hsl(212 13% 19%),#2a3037,42,48,55,212,13,19,-1.377171712,0.4074390251,-0.7836655515,-0.01378947766,0.0442181467
https://www.youtube.com/watch?v=ASO_zypdnsQ&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=194&pp=iAQB8AUB,PSY - GENTLEMAN M/V,officialpsy,1.6B views,1600000000,106.6666667,11 years ago,2013,https://img.youtube.com/vi/ASO_zypdnsQ/hqdefault.jpg,ASO_zypdnsQ,"rgb(54, 62, 70)",hsl(210 13% 24%),#363e46,54,62,70,210,13,24,-1.007416555,0.3870259148,-0.8297984555,0.01013959821,0.05505651989
https://www.youtube.com/watch?v=UqyT8IEBkvY&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=187&pp=iAQB8AUB,Bruno Mars - 24K Magic (Official Music Video),Bruno Mars,1.6B views,1600000000,106.6666667,8 years ago,2016,https://img.youtube.com/vi/UqyT8IEBkvY/hqdefault.jpg,UqyT8IEBkvY,"rgb(205, 193, 183)",hsl(27 18% 76%),#cdc1b7,205,193,183,27,18,76,2.417963061,-1.050446049,-0.4249085226,0.07345079196,-0.0416976606
https://www.youtube.com/watch?v=EgqUJOudrcM&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=198&pp=iAQB8AUB,Calvin Harris & Disciples - How Deep Is Your Love,Calvin Harris,1.6B views,1600000000,106.6666667,9 years ago,2015,https://img.youtube.com/vi/EgqUJOudrcM/hqdefault.jpg,EgqUJOudrcM,"rgb(44, 37, 27)",hsl(35 24% 14%),#2c251b,44,37,27,35,24,14,-1.708057993,-0.7907972122,0.373089707,0.08223327716,0.00823088933
https://www.youtube.com/watch?v=VMp55KH_3wo&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=201&pp=iAQB8AUB,Gente de Zona - La Gozadera (Official Video) ft. Marc Anthony,Gente De Zona,1.6B views,1600000000,106.6666667,9 years ago,2015,https://img.youtube.com/vi/VMp55KH_3wo/hqdefault.jpg,VMp55KH_3wo,"rgb(123, 104, 75)",hsl(36 24% 39%),#7b684b,123,104,75,36,24,39,-0.1234916569,-0.8501704111,0.1734650226,-0.133031072,0.04412466213
https://www.youtube.com/watch?v=ZzAm13KsBCc&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=202&pp=iAQB8AUB,Bath Song + More Nursery Rhymes & Kids Songs - CoComelon,Cocomelon - Nursery Rhymes,1.6B views,1600000000,106.6666667,6 years ago,2018,https://img.youtube.com/vi/ZzAm13KsBCc/hqdefault.jpg,ZzAm13KsBCc,"rgb(219, 200, 194)",hsl(14 26% 81%),#dbc8c2,219,200,194,14,26,81,2.74411559,-0.9994908045,-0.07920540255,0.1165747579,-0.1008845632
https://www.youtube.com/watch?v=xTlNMmZKwpA&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=193&pp=iAQB8AUB,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",Cardi B,1.6B views,1600000000,106.6666667,6 years ago,2018,https://img.youtube.com/vi/xTlNMmZKwpA/hqdefault.jpg,xTlNMmZKwpA,"rgb(216, 186, 194)",hsl(344 28% 79%),#d8bac2,216,186,194,344,28,79,2.482067478,1.646461643,-1.113932182,-0.2882802822,-0.05428154147
